Score,Healthy life expectancy
7.632,0.874
7.594,0.861
7.555,0.868
7.495,0.914
7.487,0.927
7.441,0.878
7.328,0.896
7.324,0.876
7.314,0.913
7.272,0.91
7.19,0.888
7.139,0.891
7.072,0.817
6.977,0.876
6.965,0.861
6.927,0.894
6.91,0.896
6.886,0.819
6.814,0.883
6.774,0.67
6.711,0.854
6.627,0.884
6.489,0.908
6.488,0.761
6.476,0.808
6.441,0.857
6.43,0.759
6.419,0.675
6.388,0.744
6.382,0.608
6.379,0.771
6.374,0.748
6.371,0.633
6.343,1.008
6.322,0.669
6.31,0.965
6.26,0.635
6.192,0.564
6.173,0.776
6.167,0.639
6.141,0.7
6.123,0.781
6.105,0.698
6.096,0.605
6.083,0.675
6.072,0.707
6,0.946
5.973,0.736
5.956,0.474
5.952,0.716
5.948,0.856
5.945,0.726
5.933,0.671
5.915,0.988
5.891,0.684
5.89,0.693
5.875,0.955
5.835,0.909
5.81,0.599
5.79,0.631
5.762,0.909
5.752,0.508
5.739,0.737
5.681,0.615
5.663,0.674
5.662,0.578
5.64,0.62
5.636,0.517
5.62,0.732
5.566,0.553
5.524,0.513
5.504,0.622
5.483,0.7
5.483,0.686
5.472,0.424
5.43,1.03
5.41,0.884
5.398,0.685
5.358,0.879
5.358,0.785
5.347,0.729
5.321,0.737
5.302,0.614
5.295,0.687
5.254,0.669
5.246,0.799
5.201,0.603
5.199,0.598
5.185,0.691
5.161,0.645
5.155,0.048
5.131,0.594
5.129,0.758
5.125,0.575
5.103,0.702
5.093,0.522
5.082,0.527
4.982,0.115
4.975,0.182
4.933,0.712
4.88,0.539
4.806,0.657
4.758,0.404
4.743,0.602
4.724,0.33
4.707,0.691
4.671,0.08
4.657,0.337
4.631,0.433
4.623,0.441
4.592,0.69
4.586,0.79
4.571,0
4.559,0.343
4.5,0.579
4.471,0.672
4.456,0.536
4.447,0.152
4.441,0.365
4.433,0.457
4.424,0.254
4.419,0.553
4.417,0.173
4.41,0.454
4.377,0.295
4.356,0.292
4.35,0.391
4.34,0.643
4.321,0.666
4.308,0.429
4.301,0.053
4.245,0.204
4.19,0.485
4.166,0.221
4.161,0.237
4.141,0.24
4.139,0.312
4.103,0.609
3.999,0.253
3.964,0.211
3.808,0.079
3.795,0.269
3.774,0.402
3.692,0.248
3.632,0.255
3.59,0.417
3.587,0.306
3.582,0.289
3.495,0.267
3.462,0.539
3.408,0.4
3.355,0.343
3.303,0.381
3.254,0.177
3.083,0.01
2.905,0.145
